title,Year_of_release,Genre,movie_runtime,IMDB_rating,IMDB_votes,Cast_&_Crew
Masti,2004," Comedy, Crime, Mystery            ",166 min,  6.2 ,6186,"     Director: Indra Kumar |      Stars: Aftab Shivdasani,  Vivek Oberoi,  Riteish Deshmukh,  Amrita Rao "
Mumbai Meri Jaan,2008, Drama            ,134 min,  7.7 ,6155,"     Director: Nishikant Kamat |      Stars: Paresh Rawal,  Kay Kay Menon,  Irrfan Khan,  Madhavan "
Mr. & Mrs. Khiladi,1997," Comedy, Drama, Romance            ",133 min,  6.4 ,6121,"     Director: David Dhawan |      Stars: Akshay Kumar,  Juhi Chawla,  Paresh Rawal,  Anil Dhawan "
Saand Ki Aankh,2019," Biography, Drama            ",146 min,  7.7 ,6112,"     Director: Tushar Hiranandani |      Stars: Taapsee Pannu,  Bhumi Pednekar,  Prakash Jha,  Vineet Kumar Singh "
Matru ki Bijlee ka Mandola,2013," Comedy, Drama            ",151 min,  5.6 ,6108,"     Director: Vishal Bhardwaj |      Stars: Pankaj Kapur,  Imran Khan,  Anushka Sharma,  Arya Babbar "
Pari,I 2018," Fantasy, Horror, Mystery            ",136 min,  6.6 ,6083,"     Director: Prosit Roy |      Stars: Anushka Sharma,  Parambrata Chattopadhyay,  Rajat Kapoor,  Ritabhari Chakraborty "
Bluffmaster!,2005," Comedy, Crime, Drama            ",137 min,  6.6 ,6068,"     Director: Rohan Sippy |      Stars: Abhishek Bachchan,  Priyanka Chopra Jonas,  Riteish Deshmukh,  Nana Patekar "
Grand Masti,2013," Comedy, Drama, Thriller            ",137 min,  4.4 ,6018,"     Director: Indra Kumar |      Stars: Riteish Deshmukh,  Vivek Oberoi,  Aftab Shivdasani,  Karishma Tanna "
Pyaasa,1957," Drama, Musical, Romance            ",146 min,  8.5 ,5987,"     Director: Guru Dutt |      Stars: Guru Dutt,  Waheeda Rehman,  Mala Sinha,  Rehman "
Chamatkar,1992," Comedy, Drama, Fantasy            ",171 min,  6.6 ,5959,"     Director: Rajiv Mehra |      Stars: Naseeruddin Shah,  Shah Rukh Khan,  Urmila Matondkar,  Malvika Tiwari "
Sir,I 2018," Drama, Romance            ",99 min,  7.7 ,5944,"     Director: Rohena Gera |      Stars: Tillotama Shome,  Vivek Gomber,  Geetanjali Kulkarni,  Rahul Vohra "
Action Replayy,2010," Comedy, Romance, Sci-Fi            ",129 min,  4.3 ,5940,"     Director: Vipul Amrutlal Shah |      Stars: Akshay Kumar,  Aishwarya Rai Bachchan,  Aditya Roy Kapoor,  Om Puri "
All the Best: Fun Begins,2009," Action, Comedy, Drama            ",144 min,  6.2 ,5939,"     Director: Rohit Shetty |      Stars: Sanjay Dutt,  Ajay Devgn,  Fardeen Khan,  Bipasha Basu "
Hunterrr,2015," Comedy, Romance            ",141 min,  7.0 ,5913,"     Director: Harshavardhan Kulkarni |      Stars: Gulshan Devaiah,  Radhika Apte,  Sai Tamhankar,  Veera Saxena "
Any Body Can Dance 2,2015," Biography, Drama, Music            ",154 min,  5.4 ,5903,"     Director: Remo D'Souza |      Stars: Prabhu Deva,  Varun Dhawan,  Shraddha Kapoor,  Lauren Gottlieb "
Panga,2020," Drama, Sport            ",131 min,  6.8 ,5896,"     Director: Ashwiny Iyer Tiwari |      Stars: Kangana Ranaut,  Jassie Gill,  Richa Chadha,  Neena Gupta "
Dor,2006, Drama            ,147 min,  7.9 ,5893,"     Director: Nagesh Kukunoor |      Stars: Ayesha Takia,  Shreyas Talpade,  Gul Panag,  Girish Karnad "
Judwaa,1997," Action, Comedy, Drama            ",138 min,  6.1 ,5861,"     Director: David Dhawan |      Stars: Salman Khan,  Karisma Kapoor,  Rambha,  Kader Khan "
Yaara,I 2020," Action, Crime, Drama            ",130 min,  6.3 ,5856,"     Director: Tigmanshu Dhulia |      Stars: Vidyut Jammwal,  Amit Sadh,  Mohommed Ali Shah,  Kenny Basumatary "
Khiladiyon Ka Khiladi,1996," Action, Crime, Drama            ",162 min,  6.0 ,5850,"     Director: Umesh Mehra |      Stars: Akshay Kumar,  Rekha,  Raveena Tandon,  Deven Verma "
Main Khiladi Tu Anari,1994," Action, Comedy            ",175 min,  6.5 ,5830,"     Director: Sameer Malkan |      Stars: Akshay Kumar,  Saif Ali Khan,  Shilpa Shetty Kundra,  Raageshwari "
Gangster,2006," Action, Crime, Drama            ",123 min,  7.1 ,5800,"     Director: Anurag Basu |      Stars: Kangana Ranaut,  Shiney Ahuja,  Emraan Hashmi,  Gulshan Grover "
Bombay Velvet,2015," Action, Crime, Drama            ",149 min,  5.6 ,5792,"     Director: Anurag Kashyap |      Stars: Ranbir Kapoor,  Anushka Sharma,  Karan Johar,  Satyadeep Misra "
Kis Kisko Pyaar Karoon,2015," Comedy, Romance            ",133 min,  5.7 ,5784,"     Directors: Abbas Alibhai Burmawalla,  Mastan Alibhai Burmawalla |      Stars: Kapil Sharma,  Simran Kaur Mundi,  Manjari Fadnnis,  Sai Lokur "
Welcome Back,2015," Action, Comedy, Crime            ",152 min,  4.2 ,5781,"     Director: Anees Bazmee |      Stars: John Abraham,  Anil Kapoor,  Nana Patekar,  Paresh Rawal "
Dhol,2007," Comedy, Crime, Mystery            ",145 min,  6.4 ,5777,"     Directors: Priyadarshan,  Raihan Chowdhury,  Aman Ullah |      Stars: Sharman Joshi,  Tusshar Kapoor,  Kunal Khemu,  Rajpal Yadav "
7 Khoon Maaf,2011," Drama, Mystery, Thriller            ",137 min,  6.2 ,5755,"     Director: Vishal Bhardwaj |      Stars: Priyanka Chopra Jonas,  Vivaan Shah,  Neil Nitin Mukesh,  John Abraham "
Indoo Ki Jawani,2020," Comedy, Drama            ",118 min,  3.0 ,5732,"     Director: Abir Sengupta |      Stars: Kiara Advani,  Aditya Seal,  Rakesh Bedi,  Mushtaq Khan "
Hamari Adhuri Kahani,2015," Drama, Romance            ",129 min,  6.7 ,5699,"     Director: Mohit Suri |      Stars: Rajkummar Rao,  Emraan Hashmi,  Vidya Balan,  Madhurima Tuli "
Judgementall Hai Kya,2019," Comedy, Drama, Mystery            ",121 min,  5.9 ,5683,"     Director: Prakash Kovelamudi |      Stars: Kangana Ranaut,  Rajkummar Rao,  Amyra Dastur,  Amrita Puri "
Doordarshan,2020," Comedy, Drama            ",119 min,  6.2 ,5677,"     Director: Gagan Puri |      Stars: Manu Rishi Chadha,  Mahie Gill,  Dolly Ahluwalia,  Shardul Rana "
R... Rajkumar,2013," Action, Comedy, Romance            ",146 min,  5.2 ,5675,"     Director: Prabhu Deva |      Stars: Shahid Kapoor,  Sonakshi Sinha,  Sonu Sood,  Ashish Vidyarthi "
Daawat-e-Ishq,2014," Comedy, Drama, Romance            ",118 min,  6.1 ,5595,"     Director: Habib Faisal |      Stars: Aditya Roy Kapoor,  Parineeti Chopra,  Anupam Kher,  Karan Wahi "
Biwi No. 1,1999," Comedy, Drama, Romance            ",159 min,  5.7 ,5593,"     Director: David Dhawan |      Stars: Karisma Kapoor,  Salman Khan,  Anil Kapoor,  Sushmita Sen "
Hum Hain Rahi Pyar Ke,1993," Comedy, Drama, Romance            ",163 min,  7.4 ,5576,"     Director: Mahesh Bhatt |      Stars: Aamir Khan,  Juhi Chawla,  Sharokh Bharucha,  Kunal Khemu "
Thank You,I 2011, Comedy            ,125 min,  4.7 ,5564,"     Director: Anees Bazmee |      Stars: Akshay Kumar,  Sonam Kapoor,  Bobby Deol,  Sunil Shetty "
Atithi Tum Kab Jaoge?,2010, Comedy            ,155 min,  6.4 ,5549,"     Director: Ashwani Dhir |      Stars: Ajay Devgn,  Konkona Sen Sharma,  Paresh Rawal,  Satish Kaushik "
8 x 10 Tasveer,2009," Action, Fantasy, Mystery            ",122 min,  5.4 ,5539,"     Director: Nagesh Kukunoor |      Stars: Akshay Kumar,  Ayesha Takia,  Javed Jaffrey,  Girish Karnad "
Ki & Ka,2016," Comedy, Romance            ",126 min,  5.8 ,5523,"     Director: R. Balki |      Stars: Amitabh Bachchan,  Kareena Kapoor,  Arjun Kapoor,  Jaya Bachchan "
"LSD: Love, Sex Aur Dhokha",2010," Comedy, Crime, Drama            ",155 min,  7.1 ,5466,"     Director: Dibakar Banerjee |      Stars: Nushrat Bharucha,  Anshuman Jha,  Neha Chauhan,  Rajkummar Rao "
Jannat 2,2012," Crime, Drama, Thriller            ",150 min,  6.2 ,5446,"     Director: Kunal Deshmukh |      Stars: Emraan Hashmi,  Randeep Hooda,  Esha Gupta,  Mohd. Zeeshan Ayyub "
Besharam,2013," Action, Comedy, Romance            ",143 min,  3.6 ,5436,"     Director: Abhinav Kashyap |      Stars: Ranbir Kapoor,  Pallavi Sharda,  Rishi Kapoor,  Neetu Singh "
Azhar,2016," Biography, Drama, Sport            ",130 min,  5.7 ,5433,"     Director: Anthony D'Souza |      Stars: Emraan Hashmi,  Nargis Fakhri,  Prachi Desai,  Lara Dutta "
Kismat Konnection,2008," Comedy, Drama, Romance            ",153 min,  5.2 ,5421,"     Director: Aziz Mirza |      Stars: Shahid Kapoor,  Vidya Balan,  Vishal Malhotra,  Om Puri "
Darbar,2020," Action, Crime, Thriller            ",159 min,  6.1 ,5417,"     Director: A.R. Murugadoss |      Stars: Rajinikanth,  Nayanthara,  Nivetha Thomas,  Sunil Shetty "
Miss Lovely,2012," Crime, Drama, Romance            ",113 min,  6.9 ,5408,"     Director: Ashim Ahluwalia |      Stars: Nawazuddin Siddiqui,  Niharika Singh,  Anil George,  Zeena Bhatia "
Shaandaar,2015," Comedy, Drama, Romance            ",144 min,  3.6 ,5374,"     Director: Vikas Bahl |      Stars: Shahid Kapoor,  Alia Bhatt,  Pankaj Kapur,  Sanjay Kapoor "
Phas Gaye Re Obama,2010," Comedy, Crime, Drama            ",108 min,  7.5 ,5368,"     Director: Subhash Kapoor |      Stars: Rajat Kapoor,  Neha Dhupia,  Sanjay Mishra,  Manu Rishi Chadha "
Joker,2012," Comedy, Family, Sci-Fi            ",104 min,  2.4 ,5350,"     Director: Shirish Kunder |      Stars: Akshay Kumar,  Sonakshi Sinha,  Shreyas Talpade,  Minissha Lamba "
Salaam-E-Ishq,2007," Comedy, Drama, Musical            ",216 min,  5.1 ,5350,"     Director: Nikkhil Advani |      Stars: Salman Khan,  Priyanka Chopra Jonas,  Anil Kapoor,  Juhi Chawla "
Sangharsh,1999," Action, Crime, Drama            ",127 min,  6.8 ,5341,"     Director: Tanuja Chandra |      Stars: Preity Zinta,  Akshay Kumar,  Ashutosh Rana,  Vishwajeet Pradhan "
Mujhse Dosti Karoge!,2002," Comedy, Drama, Family            ",149 min,  5.1 ,5334,"     Director: Kunal Kohli |      Stars: Hrithik Roshan,  Kareena Kapoor,  Rani Mukerji,  Uday Chopra "
Class of 83,2020," Action, Crime, Drama            ",98 min,  5.8 ,5329,"     Director: Atul Sabharwal |      Stars: Bobby Deol,  Anup Soni,  Joy Sengupta,  Hitesh Bhojraj "
Do Dooni Chaar,2010," Comedy, Drama            ",112 min,  7.5 ,5324,"     Director: Habib Faisal |      Stars: Rishi Kapoor,  Neetu Singh,  Aditi Vasudev,  Archit Krishna "
Mausam,2011," Drama, Romance, War            ",161 min,  4.7 ,5320,"     Director: Pankaj Kapur |      Stars: Shahid Kapoor,  Sonam Kapoor,  Anupam Kher,  Supriya Pathak "
Durgamati: The Myth,2020," Horror, Thriller            ",155 min,  3.8 ,5318,"     Director: Ashok G. |      Stars: Bhumi Pednekar,  Arshad Warsi,  Mahie Gill,  Jisshu Sengupta "
Romeo Akbar Walter,2019," Action, Drama, Thriller            ",141 min,  6.6 ,5301,"     Director: Robbie Grewal |      Stars: John Abraham,  Jackie Shroff,  Mouni Roy,  Anil George "
Aarakshan,2011," Drama, Thriller            ",164 min,  6.2 ,5287,"     Director: Prakash Jha |      Stars: Amitabh Bachchan,  Saif Ali Khan,  Manoj Bajpayee,  Deepika Padukone "
Kahaani 2,2016," Mystery, Thriller            ",127 min,  6.6 ,5286,"     Director: Sujoy Ghosh |      Stars: Vidya Balan,  Arjun Rampal,  Jugal Hansraj,  Kharaj Mukherjee "
Ferrari Ki Sawaari,2012," Comedy, Drama, Family            ",140 min,  6.4 ,5251,"     Director: Rajesh Mapuskar |      Stars: Sharman Joshi,  Boman Irani,  Ritvik Sahore,  Paresh Rawal "
Lingaa,2014," Action, Comedy, Drama            ",174 min,  5.6 ,5250,"     Director: K.S. Ravikumar |      Stars: Rajinikanth,  Anushka Shetty,  Sonakshi Sinha,  Jagapathi Babu "
Bombay Talkies,2013, Drama            ,127 min,  6.7 ,5225,"     Directors: Zoya Akhtar,  Dibakar Banerjee,  Karan Johar,  Anurag Kashyap |      Stars: Rani Mukerji,  Randeep Hooda,  Saqib Saleem,  Nawazuddin Siddiqui "
Mann,1999," Drama, Romance            ",160 min,  6.2 ,5213,"     Director: Indra Kumar |      Stars: Aamir Khan,  Manisha Koirala,  Sharmila Tagore,  Deepti Bhatnagar "
Taal,1999," Drama, Musical, Romance            ",179 min,  6.7 ,5200,"     Director: Subhash Ghai |      Stars: Akshaye Khanna,  Anil Kapoor,  Aishwarya Rai Bachchan,  Alok Nath "
Batti Gul Meter Chalu,2018, Drama            ,161 min,  6.0 ,5198,"     Director: Shree Narayan Singh |      Stars: Shahid Kapoor,  Shraddha Kapoor,  Divyendu Sharma,  Yami Gautam "
Bhoothnath Returns,2014," Comedy, Drama, Fantasy            ",155 min,  6.6 ,5187,"     Director: Nitesh Tiwari |      Stars: Amitabh Bachchan,  Boman Irani,  Parth Bhalerao,  Sanjay Mishra "
Force 2,2016," Action, Adventure, Thriller            ",127 min,  6.2 ,5177,"     Director: Abhinay Deo |      Stars: John Abraham,  Sonakshi Sinha,  Tahir Raj Bhasin,  Adil Hussain "
Tashan,2008," Action, Comedy, Drama            ",120 min,  3.9 ,5154,"     Director: Vijay Krishna Acharya |      Stars: Akshay Kumar,  Saif Ali Khan,  Kareena Kapoor,  Anil Kapoor "
Happy Bhag Jayegi,2016," Comedy, Romance            ",126 min,  6.5 ,5145,"     Director: Mudassar Aziz |      Stars: Diana Penty,  Abhay Deol,  Jimmy Sheirgill,  Ali Fazal "
Taish,2020," Action, Thriller            ",143 min,  7.5 ,5126,"     Director: Bejoy Nambiar |      Stars: Jim Sarbh,  Harshvardhan Rane,  Pulkit Samrat,  Kriti Kharbanda "
Kaal,2005," Adventure, Horror, Mystery            ",126 min,  4.6 ,5126,"     Director: Soham Shah |      Stars: Ajay Devgn,  Vivek Oberoi,  John Abraham,  Lara Dutta "
Hungama 2,2021, Comedy            ,156 min,  3.1 ,5124,"     Director: Priyadarshan |      Stars: Paresh Rawal,  Shilpa Shetty Kundra,  Meezaan Jafri,  Pranitha "
Dil,1990," Comedy, Drama, Romance            ",172 min,  6.7 ,5108,"     Director: Indra Kumar |      Stars: Aamir Khan,  Madhuri Dixit,  Saeed Jaffrey,  Deven Verma "
Choked: Paisa Bolta Hai,2020, Drama            ,114 min,  5.8 ,5104,"     Director: Anurag Kashyap |      Stars: Saiyami Kher,  Roshan Mathew,  Amruta Subhash,  Upendra Limaye "
Cheeni Kum,2007," Comedy, Drama, Romance            ",140 min,  6.8 ,5088,"     Director: R. Balki |      Stars: Amitabh Bachchan,  Tabu,  Paresh Rawal,  Zohra Sehgal "
Parched,2015, Drama            ,116 min,  7.6 ,5083,"     Director: Leena Yadav |      Stars: Tannishtha Chatterjee,  Radhika Apte,  Surveen Chawla,  Lehar Khan "
Chashme Baddoor,2013," Comedy, Drama            ",121 min,  5.4 ,5051,"     Director: David Dhawan |      Stars: Ali Zafar,  Siddharth,  Divyendu Sharma,  Taapsee Pannu "
Fukrey Returns,2017, Comedy            ,141 min,  6.5 ,5043,"     Director: Mrighdeep Lamba |      Stars: Pulkit Samrat,  Varun Sharma,  Ali Fazal,  Manjot Singh "
Ghayal Once Again,2016," Action, Crime, Drama            ",127 min,  6.3 ,5042,"     Director: Sunny Deol |      Stars: Sunny Deol,  Soha Ali Khan,  Om Puri,  Aanchal Munjal "
Panipat,2019," Action, Drama, History            ",165 min,  5.3 ,5040,"     Director: Ashutosh Gowariker |      Stars: Arjun Kapoor,  Sanjay Dutt,  Kriti Sanon,  Mohnish Bahl "
Coolie No. 1,1995," Action, Comedy, Romance            ",143 min,  6.6 ,5030,"     Director: David Dhawan |      Stars: Govinda,  Karisma Kapoor,  Harish,  Kanchan "
Satyagraha,2013, Drama            ,152 min,  5.9 ,5026,"     Director: Prakash Jha |      Stars: Amitabh Bachchan,  Kareena Kapoor,  Manoj Bajpayee,  Ajay Devgn "
Angoor,1982, Comedy            ,131 min,  8.3 ,5023,"     Director: Gulzar |      Stars: Sanjeev Kumar,  Moushumi Chatterjee,  Deven Verma,  Aruna Irani "
Baazaar,2018," Crime, Drama, Thriller            ",137 min,  6.6 ,4989,"     Director: Gauravv K. Chawla |      Stars: Radhika Apte,  Saif Ali Khan,  Denzil Smith,  Chitrangda Singh "
Virgin Bhanupriya,2020," Comedy, Drama            ",111 min,  2.8 ,4985,"     Director: Ajay Lohan |      Stars: Urvashi Rautela,  Gautam Gulati,  Rumana Molla,  Archana Puran Singh "
Bhoot: Part One - The Haunted Ship,2020," Horror, Mystery, Thriller            ",114 min,  5.4 ,4969,"     Director: Bhanu Pratap Singh |      Stars: Vicky Kaushal,  Ashutosh Rana,  Meher Vij,  Akash Dhar "
Ek Chalis Ki Last Local,2007," Adventure, Comedy, Crime            ",143 min,  7.3 ,4964,"     Director: Sanjay M. Khanduri |      Stars: Abhay Deol,  Neha Dhupia,  Amit Mistry,  Nawazuddin Siddiqui "
Maine Pyaar Kyun Kiya,2005," Comedy, Drama, Romance            ",145 min,  5.5 ,4959,"     Director: David Dhawan |      Stars: Salman Khan,  Sushmita Sen,  Katrina Kaif,  Sohail Khan "
Kurbaan,2009," Action, Crime, Drama            ",161 min,  5.7 ,4951,"     Director: Renzil D'Silva |      Stars: Lewis Tan,  Kareena Kapoor,  Saif Ali Khan,  Om Puri "
One 2 Ka 4,2001," Action, Comedy, Crime            ",169 min,  5.4 ,4949,"     Director: Shashilal K. Nair |      Stars: Shah Rukh Khan,  Jackie Shroff,  Juhi Chawla,  Nirmal Pandey "
Pyaar Kiya To Darna Kya,1998," Action, Comedy, Drama            ",162 min,  6.7 ,4942,"     Director: Sohail Khan |      Stars: Salman Khan,  Kajol,  Arbaaz Khan,  Anjala Zaveri "
City Lights,2014," Drama, Thriller            ",126 min,  7.4 ,4924,"     Director: Hansal Mehta |      Stars: Rajkummar Rao,  Patralekhaa Paul,  Manav Kaul,  Khushboo Upadhyay "
Commando,2013," Action, Adventure, Thriller            ",124 min,  6.2 ,4918,"     Director: Dilip Ghosh |      Stars: Vidyut Jammwal,  Hsieh Chang Hai,  Nelson Liao Sheng Hua,  Ishita Vyas "
Tumhari Sulu,2017," Comedy, Drama            ",150 min,  7.0 ,4890,"     Director: Suresh Triveni |      Stars: Vidya Balan,  Manav Kaul,  Neha Dhupia,  Vijay Maurya "
Ghanchakkar,2013," Comedy, Crime, Thriller            ",137 min,  5.8 ,4889,"     Director: Raj Kumar Gupta |      Stars: Emraan Hashmi,  Vidya Balan,  Rajesh Sharma,  Amar Kaushik "
Akele Hum Akele Tum,1995, Drama            ,160 min,  7.0 ,4867,"     Director: Mansoor Khan |      Stars: Aamir Khan,  Manisha Koirala,  Master Adil,  Deven Verma "
The Attacks of 26/11,2013," Action, Crime, Drama            ",116 min,  6.9 ,4855,"     Director: Ram Gopal Varma |      Stars: Nana Patekar,  Atul Kulkarni,  Sanjeev Jaiswal,  Rahaao "
Kaante,2002," Action, Crime, Drama            ",154 min,  6.5 ,4844,"     Director: Sanjay Gupta |      Stars: Amitabh Bachchan,  Sanjay Dutt,  Sunil Shetty,  Mahesh Manjrekar "
Ghost Stories,2020," Horror, Thriller            ",144 min,  4.3 ,4841,"     Directors: Zoya Akhtar,  Dibakar Banerjee,  Karan Johar,  Anurag Kashyap |      Stars: Janhvi Kapoor,  Surekha Sikri,  Amruta Subhash,  Vijay Varma "
Soorma,2018," Biography, Drama, Sport            ",131 min,  7.4 ,4822,"     Director: Shaad Ali |      Stars: Diljit Dosanjh,  Taapsee Pannu,  Angad Bedi,  Vijay Raaz "
Ajeeb Daastaans,2021," Drama, Romance            ",142 min,  6.7 ,4822,"     Directors: Neeraj Ghaywan,  Kayoze Irani,  Shashank Khaitan,  Raj Mehta |      Stars: Fatima Sana Shaikh,  Jaideep Ahlawat,  Nushrat Bharucha,  Abhishek Banerjee "
Hazaaron Khwaishein Aisi,2003, Drama            ,120 min,  7.9 ,4822,"     Director: Sudhir Mishra |      Stars: Kay Kay Menon,  Shiney Ahuja,  Chitrangda Singh,  Ram Kapoor "
Gupt: The Hidden Truth,1997," Action, Crime, Mystery            ",173 min,  7.3 ,4796,"     Director: Rajiv Rai |      Stars: Bobby Deol,  Kajol,  Manisha Koirala,  Prem Chopra "
Blue,I 2009," Action, Adventure, Mystery            ",119 min,  3.7 ,4778,"     Director: Anthony D'Souza |      Stars: Akshay Kumar,  Sanjay Dutt,  Lara Dutta,  Zayed Khan "
Mera Naam Joker,1970," Comedy, Drama            ",224 min,  8.0 ,4760,"     Director: Raj Kapoor |      Stars: Raj Kapoor,  Manoj Kumar,  Simi Garewal,  Rishi Kapoor "
Shakthi: The Power,2002," Action, Drama            ",170 min,  6.0 ,4745,"     Director: Krishna Vamsi |      Stars: Karisma Kapoor,  Nana Patekar,  Sanjay Kapoor,  Jai Gidwani "
Deewane Huye Paagal,2005," Action, Comedy, Drama            ",158 min,  5.3 ,4732,"     Director: Vikram Bhatt |      Stars: Shahid Kapoor,  Akshay Kumar,  Sunil Shetty,  Rimi Sen "
Meri Pyaari Bindu,2017," Comedy, Drama, Romance            ",117 min,  6.0 ,4720,"     Director: Akshay Roy |      Stars: Ayushmann Khurrana,  Parineeti Chopra,  Amrita Bagchi,  Prakash Belawadi "
Rahasya,2015," Mystery, Thriller            ",123 min,  7.6 ,4711,"     Director: Manish Gupta |      Stars: Kay Kay Menon,  Ashish Vidyarthi,  Tisca Chopra,  Mita Vashisht "
Photograph,I 2019," Drama, Romance            ",110 min,  6.9 ,4693,"     Director: Ritesh Batra |      Stars: Nawazuddin Siddiqui,  Sanya Malhotra,  Sachin Khedekar,  Denzil Smith "
Bandit Queen,1994," Biography, Crime, Drama            ",119 min,  7.6 ,4646,"     Director: Shekhar Kapur |      Stars: Seema Biswas,  Nirmal Pandey,  Rajesh Vivek,  Raghuvir Yadav "
Sarbjit,2016," Biography, Drama            ",131 min,  7.3 ,4625,"     Director: Omung Kumar |      Stars: Randeep Hooda,  Aishwarya Rai Bachchan,  Richa Chadha,  Darshan Kumaar "
Titli,2014," Action, Crime, Drama            ",116 min,  7.6 ,4621,"     Director: Kanu Behl |      Stars: Shashank Arora,  Ranvir Shorey,  Shivani Raghuvanshi,  Amit Sial "
Mere Dad Ki Maruti,2013," Comedy, Drama, Romance            ",101 min,  6.4 ,4620,"     Director: Ashima Chibber |      Stars: Saqib Saleem,  Rhea Chakraborty,  Ram Kapoor,  Prabal Panjabi "
Fitoor,2016," Drama, Romance            ",131 min,  5.4 ,4618,"     Director: Abhishek Kapoor |      Stars: Aditya Roy Kapoor,  Katrina Kaif,  Tabu,  Rahul Bhatt "
Phata Poster Nikhla Hero,2013," Action, Comedy, Drama            ",146 min,  4.8 ,4606,"     Director: Rajkumar Santoshi |      Stars: Shahid Kapoor,  Ileana D'Cruz,  Padmini Kolhapure,  Mukesh Tiwari "
Ghoomketu,2020, Comedy            ,108 min,  5.5 ,4584,"     Director: Pushpendra Nath Misra |      Stars: Nawazuddin Siddiqui,  Ragini Khanna,  Richa Chadha,  Anurag Kashyap "
Baadshaho,2017," Action, Adventure, Thriller            ",136 min,  4.9 ,4576,"     Director: Milan Luthria |      Stars: Ajay Devgn,  Ileana D'Cruz,  Emraan Hashmi,  Esha Gupta "
Chori Chori Chupke Chupke,2001," Comedy, Drama, Musical            ",160 min,  5.4 ,4565,"     Directors: Abbas Alibhai Burmawalla,  Mastan Alibhai Burmawalla |      Stars: Salman Khan,  Rani Mukerji,  Preity Zinta,  Amrish Puri "
Yeh Saali Zindagi,2011," Crime, Drama, Thriller            ",130 min,  7.5 ,4551,"     Director: Sudhir Mishra |      Stars: Irrfan Khan,  Chitrangda Singh,  Arunoday Singh,  Aditi Rao Hydari "
Ta Ra Rum Pum,2007," Comedy, Drama, Family            ",153 min,  5.6 ,4530,"     Director: Siddharth Anand |      Stars: Saif Ali Khan,  Rani Mukerji,  Javed Jaffrey,  Ali Haji "
Nail Polish,2021, Drama            ,128 min,  7.4 ,4520,"     Director: Bugs Bhargava Krishna |      Stars: Arjun Rampal,  Manav Kaul,  Anand Tiwari,  Rajit Kapoor "
Apaharan,2005," Action, Crime, Drama            ",173 min,  7.4 ,4500,"     Director: Prakash Jha |      Stars: Ajay Devgn,  Nana Patekar,  Bipasha Basu,  Ayub Khan "
Main Prem Ki Diwani Hoon,2003," Comedy, Drama, Musical            ",197 min,  4.0 ,4492,"     Director: Sooraj R. Barjatya |      Stars: Hrithik Roshan,  Kareena Kapoor,  Abhishek Bachchan,  Johnny Lever "
London Dreams,2009," Drama, Music            ",146 min,  5.3 ,4484,"     Director: Vipul Amrutlal Shah |      Stars: Salman Khan,  Ajay Devgn,  Om Puri,  Aditya Roy Kapoor "
36 China Town,2006," Comedy, Mystery, Thriller            ",140 min,  5.7 ,4476,"     Directors: Abbas Alibhai Burmawalla,  Mastan Alibhai Burmawalla |      Stars: Akshaye Khanna,  Kareena Kapoor,  Shahid Kapoor,  Paresh Rawal "
Laal Rang,2016," Comedy, Crime, Drama            ",147 min,  8.0 ,4435,"     Director: Syed Ahmad Afzal |      Stars: Randeep Hooda,  Akshay Oberoi,  Rajniesh Duggall,  Piaa Bajpai "
Chopsticks,2019," Comedy, Drama            ",100 min,  6.5 ,4431,"     Director: Sachin Yardi |      Stars: Abhay Deol,  Mithila Palkar,  Vijay Raaz,  Achint Kaur "
Sabse Bada Khiladi,1995," Action, Crime, Thriller            ",162 min,  6.0 ,4425,"     Director: Umesh Mehra |      Stars: Akshay Kumar,  Mamta Kulkarni,  Mohnish Bahl,  Avtar Gill "
Yeh Dillagi,1994," Comedy, Drama, Musical            ",155 min,  6.0 ,4400,"     Director: Naresh Malhotra |      Stars: Kajol,  Akshay Kumar,  Saif Ali Khan,  Saeed Jaffrey "
Aiyaary,2018," Action, Drama, Thriller            ",157 min,  5.3 ,4342,"     Director: Neeraj Pandey |      Stars: Sidharth Malhotra,  Manoj Bajpayee,  Rakul Preet Singh,  Pooja Chopra "
Garv: Pride and Honour,2004," Action, Crime, Drama            ",162 min,  5.6 ,4334,"     Director: Puneet Issar |      Stars: Salman Khan,  Shilpa Shetty Kundra,  Arbaaz Khan,  Farida Jalal "
Mela,2000," Action, Adventure, Comedy            ",172 min,  3.8 ,4332,"     Director: Dharmesh Darshan |      Stars: Aamir Khan,  Twinkle Khanna,  Faisal Khan,  Johnny Lever "
Raavan,2010," Action, Adventure, Drama            ",130 min,  5.4 ,4320,"     Director: Mani Ratnam |      Stars: Abhishek Bachchan,  Aishwarya Rai Bachchan,  Govinda,  Vikram "
Players,2012," Action, Crime, Thriller            ",163 min,  4.1 ,4313,"     Directors: Abbas Alibhai Burmawalla,  Mastan Alibhai Burmawalla |      Stars: Vinod Khanna,  Abhishek Bachchan,  Bobby Deol,  Sonam Kapoor "
Laal Kaptaan,2019," Action, Adventure, Drama            ",155 min,  7.3 ,4311,"     Director: Navdeep Singh |      Stars: Saif Ali Khan,  Zoya Hussain,  Manav Vij,  Deepak Dobriyal "
A Flying Jatt,2016," Action, Adventure, Comedy            ",151 min,  3.0 ,4311,"     Director: Remo D'Souza |      Stars: Tiger Shroff,  Jacqueline Fernandez,  Nathan Jones,  Kay Kay Menon "
