title,Year_of_release,Genre,movie_runtime,IMDB_rating,IMDB_votes,Cast_&_Crew
Tumbbad,2018," Drama, Fantasy, Horror            ",104 min,  8.3 ,35619,"     Directors: Rahi Anil Barve,  Anand Gandhi,  Adesh Prasad |      Stars: Sohum Shah,  Jyoti Malshe,  Anita Date,  Ronjini Chakraborty "
Happy New Year,I 2014," Action, Comedy, Crime            ",180 min,  5.0 ,35414,"     Director: Farah Khan |      Stars: Shah Rukh Khan,  Deepika Padukone,  Abhishek Bachchan,  Anupam Kher "
Gully Boy,2019," Drama, Music, Romance            ",154 min,  8.0 ,35153,"     Director: Zoya Akhtar |      Stars: Vijay Varma,  Nakul Roshan Sahdev,  Ranveer Singh,  Vijay Raaz "
Kai po che!,2013," Drama, Sport            ",130 min,  7.8 ,34939,"     Director: Abhishek Kapoor |      Stars: Amit Sadh,  Sushant Singh Rajput,  Rajkummar Rao,  Amrita Puri "
Ludo,2020," Action, Comedy, Crime            ",149 min,  7.6 ,34876,"     Director: Anurag Basu |      Stars: Pankaj Tripathi,  Abhishek Bachchan,  Rajkummar Rao,  Fatima Sana Shaikh "
English Vinglish,2012," Comedy, Drama, Family            ",134 min,  7.8 ,34812,"     Director: Gauri Shinde |      Stars: Sridevi,  Adil Hussain,  Mehdi Nebbou,  Priya Anand "
Paan Singh Tomar,2012," Action, Biography, Crime            ",135 min,  8.2 ,34712,"     Director: Tigmanshu Dhulia |      Stars: Irrfan Khan,  Mahie Gill,  Rajesh Abhay,  Hemendra Dandotiya "
Black,2005, Drama            ,122 min,  8.2 ,34091,"     Director: Sanjay Leela Bhansali |      Stars: Amitabh Bachchan,  Rani Mukerji,  Shernaz Patel,  Ayesha Kapoor "
Main Hoon Na,2004," Action, Comedy, Drama            ",179 min,  7.0 ,33699,"     Director: Farah Khan |      Stars: Shah Rukh Khan,  Sushmita Sen,  Sunil Shetty,  Zayed Khan "
Talvar,2015," Crime, Drama, Mystery            ",132 min,  8.2 ,33028,"     Director: Meghna Gulzar |      Stars: Irrfan Khan,  Konkona Sen Sharma,  Neeraj Kabi,  Sohum Shah "
Dilwale,2015," Action, Comedy, Drama            ",158 min,  5.1 ,32911,"     Director: Rohit Shetty |      Stars: Shah Rukh Khan,  Kajol,  Varun Dhawan,  Kriti Sanon "
Bajirao Mastani,2015," Action, Drama, History            ",158 min,  7.2 ,32650,"     Director: Sanjay Leela Bhansali |      Stars: Ranveer Singh,  Deepika Padukone,  Priyanka Chopra Jonas,  Tanvi Azmi "
Anand,1971," Drama, Musical            ",122 min,  8.2 ,32612,"     Director: Hrishikesh Mukherjee |      Stars: Rajesh Khanna,  Amitabh Bachchan,  Sumita Sanyal,  Ramesh Deo "
Toofaan,2021," Action, Drama, Sport            ",163 min,  5.0 ,32527,"     Director: Rakeysh Omprakash Mehra |      Stars: Farhan Akhtar,  Hussain Dalal,  Imran Rashid,  Vijay Raaz "
Gunjan Saxena: The Kargil Girl,2020," Action, Biography, Drama            ",112 min,  5.3 ,32487,"     Director: Sharan Sharma |      Stars: Janhvi Kapoor,  Pankaj Tripathi,  Angad Bedi,  Manav Vij "
Ek Tha Tiger,2012," Action, Romance, Thriller            ",132 min,  5.5 ,32485,"     Director: Kabir Khan |      Stars: Salman Khan,  Katrina Kaif,  Girish Karnad,  Roshan Seth "
Fanaa,2006," Action, Drama, Romance            ",168 min,  7.2 ,31822,"     Director: Kunal Kohli |      Stars: Aamir Khan,  Kajol,  Rishi Kapoor,  Tabu "
Jodhaa Akbar,2008," Action, Drama, History            ",213 min,  7.6 ,31191,"     Director: Ashutosh Gowariker |      Stars: Hrithik Roshan,  Aishwarya Rai Bachchan,  Sonu Sood,  Poonam Sinha "
Dabangg,2010," Action, Comedy, Crime            ",126 min,  6.2 ,30909,"     Director: Abhinav Kashyap |      Stars: Salman Khan,  Sonakshi Sinha,  Sonu Sood,  Arbaaz Khan "
Stree,2018," Comedy, Horror            ",128 min,  7.6 ,30889,"     Director: Amar Kaushik |      Stars: Rajkummar Rao,  Shraddha Kapoor,  Pankaj Tripathi,  Aparshakti Khurana "
Raanjhanaa,2013," Drama, Romance            ",140 min,  7.6 ,30814,"     Director: Aanand L. Rai |      Stars: Dhanush,  Sonam Kapoor,  Mohd. Zeeshan Ayyub,  Swara Bhaskar "
Badhaai ho,2018," Comedy, Drama            ",124 min,  8.0 ,30564,"     Director: Amit Ravindernath Sharma |      Stars: Ayushmann Khurrana,  Neena Gupta,  Gajraj Rao,  Sanya Malhotra "
Piku,2015," Comedy, Drama            ",123 min,  7.6 ,30340,"     Director: Shoojit Sircar |      Stars: Deepika Padukone,  Amitabh Bachchan,  Irrfan Khan,  Moushumi Chatterjee "
Wake Up Sid,2009," Comedy, Drama, Romance            ",138 min,  7.6 ,29710,"     Director: Ayan Mukherjee |      Stars: Ranbir Kapoor,  Konkona Sen Sharma,  Supriya Pathak,  Anupam Kher "
Dev.D,2009," Comedy, Drama, Romance            ",144 min,  8.0 ,29684,"     Director: Anurag Kashyap |      Stars: Abhay Deol,  Mahie Gill,  Kalki Koechlin,  Dibyendu Bhattacharya "
Padmaavat,2018," Drama, History, Romance            ",164 min,  7.0 ,29248,"     Director: Sanjay Leela Bhansali |      Stars: Deepika Padukone,  Ranveer Singh,  Shahid Kapoor,  Aditi Rao Hydari "
Bharat,2019," Action, Comedy, Drama            ",150 min,  4.9 ,29247,"     Director: Ali Abbas Zafar |      Stars: Salman Khan,  Katrina Kaif,  Sunil Grover,  Tabu "
Kabir Singh,2019," Action, Drama, Romance            ",173 min,  7.1 ,28842,"     Director: Sandeep Reddy Vanga |      Stars: Shahid Kapoor,  Kiara Advani,  Nikita Dutta,  Soham Majumdar "
Mohabbatein,2000," Musical, Drama, Romance            ",216 min,  7.1 ,28409,"     Director: Aditya Chopra |      Stars: Amitabh Bachchan,  Shah Rukh Khan,  Uday Chopra,  Jugal Hansraj "
Aashiqui 2,2013," Drama, Music, Musical            ",132 min,  7.0 ,27855,"     Director: Mohit Suri |      Stars: Aditya Roy Kapoor,  Shraddha Kapoor,  Shaad Randhawa,  Salil Acharya "
Dil Se..,1998," Drama, Romance            ",144 min,  7.6 ,27713,"     Director: Mani Ratnam |      Stars: Shah Rukh Khan,  Manisha Koirala,  Preity Zinta,  Raghuvir Yadav "
Kick,2014," Action, Comedy, Crime            ",146 min,  5.3 ,27682,"     Director: Sajid Nadiadwala |      Stars: Salman Khan,  Jacqueline Fernandez,  Nawazuddin Siddiqui,  Randeep Hooda "
Highway,I 2014," Crime, Drama, Romance            ",133 min,  7.6 ,27587,"     Director: Imtiaz Ali |      Stars: Alia Bhatt,  Randeep Hooda,  Durgesh Kumar,  Pradeep Nagar "
Raazi,2018," Action, Drama, Thriller            ",138 min,  7.8 ,27438,"     Director: Meghna Gulzar |      Stars: Alia Bhatt,  Vicky Kaushal,  Rajit Kapoor,  Shishir Sharma "
Tanu Weds Manu Returns,2015," Comedy, Drama, Romance            ",128 min,  7.6 ,27270,"     Director: Aanand L. Rai |      Stars: Kangana Ranaut,  Madhavan,  Jimmy Sheirgill,  Deepak Dobriyal "
Article 15,2019," Crime, Drama, Mystery            ",130 min,  8.2 ,26958,"     Director: Anubhav Sinha |      Stars: Ayushmann Khurrana,  Nassar,  Manoj Pahwa,  Kumud Mishra "
Baazigar,1993," Crime, Drama, Musical            ",175 min,  7.7 ,26956,"     Directors: Abbas Alibhai Burmawalla,  Mastan Alibhai Burmawalla |      Stars: Shah Rukh Khan,  Kajol,  Dalip Tahil,  Rakhee Gulzar "
Tiger Zinda Hai,2017," Action, Adventure, Thriller            ",161 min,  5.9 ,26680,"     Director: Ali Abbas Zafar |      Stars: Katrina Kaif,  Salman Khan,  Anupriya Goenka,  Paresh Rawal "
Holiday,2014," Action, Thriller            ",160 min,  7.2 ,26639,"     Director: A.R. Murugadoss |      Stars: Akshay Kumar,  Sonakshi Sinha,  Freddy Daruwala,  Sumeet Raghvan "
Jaane Tu... Ya Jaane Na,2008," Comedy, Drama, Romance            ",155 min,  7.5 ,26141,"     Director: Abbas Tyrewala |      Stars: Imran Khan,  Genelia D'Souza,  Manjari Fadnnis,  Ayaz Khan "
Chhapaak,2020," Biography, Drama            ",120 min,  5.1 ,26037,"     Director: Meghna Gulzar |      Stars: Deepika Padukone,  Vikrant Massey,  Madhurjeet Sarghi,  Payal Nair "
Zero,III 2018," Comedy, Drama, Romance            ",164 min,  5.4 ,25908,"     Director: Aanand L. Rai |      Stars: Shah Rukh Khan,  Anushka Sharma,  Katrina Kaif,  Mohd. Zeeshan Ayyub "
Super 30,2019," Biography, Drama            ",154 min,  8.0 ,25864,"     Director: Vikas Bahl |      Stars: Hrithik Roshan,  Mrunal Thakur,  Nandish Singh,  Virendra Saxena "
Masaan,2015, Drama            ,109 min,  8.2 ,25538,"     Director: Neeraj Ghaywan |      Stars: Richa Chadha,  Sanjay Mishra,  Vicky Kaushal,  Pankaj Tripathi "
Hindi Medium,2017," Comedy, Drama            ",132 min,  7.9 ,25533,"     Director: Saket Chaudhary |      Stars: Irrfan Khan,  Saba Qamar,  Dishita Sehgal,  Deepak Dobriyal "
Kaabil,2017," Action, Crime, Drama            ",139 min,  7.1 ,25423,"     Director: Sanjay Gupta |      Stars: Hrithik Roshan,  Yami Gautam,  Ronit Roy,  Rohit Roy "
Monsoon Wedding,2001," Comedy, Drama, Romance            ",114 min,  7.4 ,25266,"     Director: Mira Nair |      Stars: Naseeruddin Shah,  Lillete Dubey,  Shefali Shah,  Vijay Raaz "
Tamasha,2015," Comedy, Drama, Romance            ",139 min,  7.3 ,25224,"     Director: Imtiaz Ali |      Stars: Deepika Padukone,  Ranbir Kapoor,  Sushma Seth,  Piyush Mishra "
Dhoom:2,2006," Action, Crime, Thriller            ",152 min,  6.6 ,25066,"     Director: Sanjay Gadhvi |      Stars: Hrithik Roshan,  Abhishek Bachchan,  Aishwarya Rai Bachchan,  Uday Chopra "
Badla,2019," Crime, Drama, Mystery            ",118 min,  7.8 ,24989,"     Director: Sujoy Ghosh |      Stars: Amitabh Bachchan,  Taapsee Pannu,  Amrita Singh,  Antonio Aakeel "
Sarfarosh,1999," Action, Drama            ",174 min,  8.1 ,24798,"     Director: John Mathew Matthan |      Stars: Aamir Khan,  Naseeruddin Shah,  Sonali Bendre,  Mukesh Rishi "
Rustom,2016," Crime, Drama, Thriller            ",148 min,  7.1 ,24766,"     Director: Dharmendra Suresh Desai |      Stars: Akshay Kumar,  Manoj Bajpayee,  Ileana D'Cruz,  Esha Gupta "
Kapoor & Sons,2016," Comedy, Drama, Family            ",132 min,  7.7 ,24524,"     Director: Shakun Batra |      Stars: Rishi Kapoor,  Rajat Kapoor,  Ratna Pathak Shah,  Fawad Khan "
Bodyguard,I 2011," Action, Comedy, Drama            ",130 min,  4.7 ,24504,"     Director: Siddique |      Stars: Salman Khan,  Kareena Kapoor,  Raj Babbar,  Hazel Keech "
Thappad,2020, Drama            ,142 min,  6.8 ,24449,"     Director: Anubhav Sinha |      Stars: Taapsee Pannu,  Pavail Gulati,  Kumud Mishra,  Ratna Pathak Shah "
2 States,2014," Comedy, Drama, Romance            ",149 min,  6.9 ,24426,"     Director: Abhishek Varman |      Stars: Arjun Kapoor,  Alia Bhatt,  Amrita Singh,  Revathi "
Mimi,2021," Comedy, Drama            ",132 min,  8.1 ,23977,"     Director: Laxman Utekar |      Stars: Kriti Sanon,  Evelyn Edwards,  Pankaj Tripathi,  Sai Tamhankar "
Madras Cafe,2013," Action, Drama, Thriller            ",130 min,  7.7 ,23727,"     Director: Shoojit Sircar |      Stars: John Abraham,  Nargis Fakhri,  Raashi Khanna,  Malini Sathappan "
Tanhaji: The Unsung Warrior,2020," Action, Biography, Drama            ",135 min,  7.6 ,23643,"     Director: Om Raut |      Stars: Ajay Devgn,  Saif Ali Khan,  Sharad Kelkar,  Kajol "
Gabbar Is Back,2015," Action, Comedy, Crime            ",128 min,  7.1 ,23606,"     Director: Radha Krishna Jagarlamudi |      Stars: Akshay Kumar,  Shruti Haasan,  Kareena Kapoor,  Suman "
Jolly LLB 2,2017," Comedy, Drama            ",137 min,  7.2 ,23567,"     Director: Subhash Kapoor |      Stars: Akshay Kumar,  Huma Qureshi,  Saurabh Shukla,  Annu Kapoor "
Bhool Bhulaiyaa,2007," Comedy, Horror, Mystery            ",159 min,  7.3 ,23343,"     Director: Priyadarshan |      Stars: Akshay Kumar,  Vidya Balan,  Shiney Ahuja,  Ameesha Patel "
Padman,2018," Comedy, Drama            ",140 min,  7.9 ,23325,"     Director: R. Balki |      Stars: Akshay Kumar,  Radhika Apte,  Sonam Kapoor,  Jyoti Subhash "
Agneepath,2012," Action, Crime, Drama            ",174 min,  6.9 ,23229,"     Director: Karan Malhotra |      Stars: Hrithik Roshan,  Priyanka Chopra Jonas,  Sanjay Dutt,  Rishi Kapoor "
Khosla Ka Ghosla!,2006," Comedy, Crime, Drama            ",135 min,  8.3 ,23043,"     Director: Dibakar Banerjee |      Stars: Anupam Kher,  Boman Irani,  Parvin Dabas,  Tara Sharma "
Darr,1993," Action, Drama, Romance            ",178 min,  7.8 ,22913,"     Director: Yash Chopra |      Stars: Juhi Chawla,  Sunny Deol,  Shah Rukh Khan,  Anupam Kher "
